Starname,ra,dec,pm_ra,pm_dec,vmag,mv,bvcolor,prlax,url_slug,epoch,id,program_id,star_id,id,name,abstract
115589,13.30376,-14.582096,-0.22511,-0.16439,9.8,5.677559067,0.9,0.01498,115589,2000,4979656,12,115589,12,Legacy,California Legacy Survey Sample
116321,13.386084,-24.734138,-0.11599,0.00286,7.81,2.867852218,0.531,0.01027,116321,2000,4979657,12,116321,12,Legacy,California Legacy Survey Sample
116442,13.39421,2.723325,0.0134,0.19861,7.06,6.036270913,0.77,0.06241,116442,2000,4979658,12,116442,12,Legacy,California Legacy Survey Sample
116443,13.394679,2.7252783,0.00458,0.20285,7.36,6.234773445,0.82,0.05956,116443,2000,4979659,12,116443,12,Legacy,California Legacy Survey Sample
116956,13.429314,56.970493,-0.2174,0.01121,7.29,5.592430079,0.804,0.04576,116956,2000,4979660,12,116956,12,Legacy,California Legacy Survey Sample
117176,13.473836,13.778787,-0.23481,-0.57619,5,3.724842741,0.71,0.0555864,117176,2000,4979661,12,117176,12,Legacy,California Legacy Survey Sample
117207,13.489198,-35.570997,-0.20499,-0.07173,7.26,4.666496367,0.724,0.03029,117207,2000,4979662,12,117207,12,Legacy,California Legacy Survey Sample
117936,13.559,8.5867642,-0.50648,0.09449,7.99,6.657992305,1,0.05415,117936,2000,4979663,12,117936,12,Legacy,California Legacy Survey Sample
118914,13.655897,31.774162,0.0184,0.0059,8.83,4.491298448,0.66,0.01356,118914,2000,4979665,12,118914,12,Legacy,California Legacy Survey Sample
11964A,1.9526684,-10.242427,-0.36841,-0.24315,6.42,3.76395131,0.83,0.02943,11964a,2000,4979666,12,11964A,12,Legacy,California Legacy Survey Sample
119850,13.76216,14.89152,1.77834,-1.45548,8.46,9.785622766,1.45,0.18413,119850,2000,4979668,12,119850,12,Legacy,California Legacy Survey Sample
120066,13.782534,6.350375,-0.5113,-0.10999,6.3,3.870080902,0.66,0.03266,120066,2000,4979669,12,120066,12,Legacy,California Legacy Survey Sample
120136,13.787778,17.456667,-0.48033,0.05418,4.5,3.534967568,0.508,0.06412,120136,2000,4979670,12,120136,12,Legacy,California Legacy Survey Sample
120467,13.829113,-22.111093,-1.74872,-0.49453,8.16,7.400637553,1.28,0.07049,120467,2000,4979671,12,120467,12,Legacy,California Legacy Survey Sample
120476A,13.817777,26.979911,-0.42739,-0.08995,7.04,6.364038145,1.12,0.07325,120476a,2000,4979672,12,120476A,12,Legacy,California Legacy Survey Sample
12051,1.9851758,33.20968,0.24317,-0.35277,7.14,5.190105123,0.78,0.04074,12051,2000,4979673,12,12051,12,Legacy,California Legacy Survey Sample
122064,13.958905,61.492861,-0.03232,0.21649,6.37,6.347517851,1.13,0.09897,122064,2000,4979674,12,122064,12,Legacy,California Legacy Survey Sample
122120,13.988723,22.869754,-0.16166,0.01425,9.04,7.154694846,1.16,0.04197,122120,2000,4979675,12,122120,12,Legacy,California Legacy Survey Sample
122303,14.017552,-2.6548636,-0.82478,0.59952,9.72,9.681883799,1.49,0.09826,122303,2000,4979676,12,122303,12,Legacy,California Legacy Survey Sample
122652,14.042122,31.660855,-0.09346,0.00871,7.172,4.200592509,0.54,0.0254518,122652,2000,4979677,12,122652,12,Legacy,California Legacy Survey Sample
124106,14.196159,-12.611766,-0.25749,-0.17949,7.92,6.104945509,0.87,0.04335,124106,2000,4979678,12,124106,12,Legacy,California Legacy Survey Sample
124292,14.212567,-3.3200844,-0.16071,-0.32214,5.57,3.830748027,0.6,0.04489,124292,2000,4979679,12,124292,12,Legacy,California Legacy Survey Sample
124642,14.232522,30.217187,-0.39802,0.17539,8.06,6.868887688,1.06,0.05778,124642,2000,4979680,12,124642,12,Legacy,California Legacy Survey Sample
125184,14.300202,-7.5423878,0.26704,-0.23499,6.5,3.919362271,0.7,0.03047,125184,2000,4979681,12,125184,12,Legacy,California Legacy Survey Sample
125455,14.326351,-5.151195,-0.63174,-0.12211,7.58,5.991628093,0.84,0.04812,125455,2000,4979682,12,125455,12,Legacy,California Legacy Survey Sample
126053,14.387579,1.2415689,0.22366,-0.47749,6.3,5.072506147,0.6,0.05682,126053,2000,4979684,12,126053,12,Legacy,California Legacy Survey Sample
12661,2.0761911,25.414305,-0.10781,-0.17526,7.44,4.589568489,0.72,0.02691,12661,2000,4979685,12,12661,12,Legacy,California Legacy Survey Sample
126614,14.446745,-5.1777803,-0.1524,-0.14817,8.7,4.526221631,1.2,0.01463,126614,2000,4979686,12,126614,12,Legacy,California Legacy Survey Sample
127334,14.493558,41.795911,0.16106,-0.22092,6.4,4.538365159,0.65,0.04243,127334,2000,4979687,12,127334,12,Legacy,California Legacy Survey Sample
128165,14.558019,52.90879,-0.19219,0.24752,7.23,6.590781364,0.99,0.0745,128165,2000,4979689,12,128165,12,Legacy,California Legacy Survey Sample
128311,14.600156,9.7465183,0.20546,-0.24968,7.51,6.42258169,0.99,0.0606061,128311,2000,4979690,12,128311,12,Legacy,California Legacy Survey Sample
12846,2.108401,24.333993,0.00637,-0.14715,6.897,5.071400704,0.618,0.04314,12846,2000,4979691,12,12846,12,Legacy,California Legacy Survey Sample
129010,14.682176,-26.428703,-0.0392,0.00808,7.47,3.349008164,0.52,0.01499,129010,2000,4979692,12,129010,12,Legacy,California Legacy Survey Sample
129814,14.736582,18.462099,-0.07097,-0.15195,7.51,4.399262095,0.599999,0.02387,129814,2000,4979694,12,129814,12,Legacy,California Legacy Survey Sample
130004,14.756717,13.846315,-0.23295,-0.22568,7.87,6.416349805,0.931,0.0512,130004,2000,4979695,12,130004,12,Legacy,California Legacy Survey Sample
130307,14.787806,2.7032242,-0.28908,-0.07928,7.8,6.331027709,0.91,0.05084,130307,2000,4979696,12,130307,12,Legacy,California Legacy Survey Sample
130322,14.792425,-0.28147222,-0.1296,-0.14079,8.05,5.681696387,0.75,0.0336,130322,2000,4979697,12,130322,12,Legacy,California Legacy Survey Sample
13043,2.1261869,-0.61741833,-0.24984,-0.34413,6.87,4.030033436,0.62,0.02704,13043,2000,4979698,12,13043,12,Legacy,California Legacy Survey Sample
130871,14.839154,6.8149294,-0.6211,-0.0667,9.09,6.651420316,0.97,0.03253,130871,2000,4979699,12,130871,12,Legacy,California Legacy Survey Sample
130992,14.861241,-24.304133,-0.94333,-0.43175,7.79,6.642787374,1.04,0.05896,130992,2000,4979700,12,130992,12,Legacy,California Legacy Survey Sample
131117,14.875861,-30.577253,-0.3362,-0.04134,6.29,3.278831281,0.6,0.02499,131117,2000,4979701,12,131117,12,Legacy,California Legacy Survey Sample
131509,14.886644,28.508272,-0.09337,0.08694,7.93,3.655982031,0.89,0.01397,131509,2000,4979702,12,131509,12,Legacy,California Legacy Survey Sample
132142,14.919734,53.680347,-0.97098,0.47874,7.73,5.837439323,0.79,0.04183,132142,2000,4979703,12,132142,12,Legacy,California Legacy Survey Sample
132505,14.982833,17.326976,-0.03476,-0.06968,7.82,3.82425249,0.61,0.01588,132505,2000,4979704,12,132505,12,Legacy,California Legacy Survey Sample
1326,0.30635703,44.022953,2.88877,0.41021,8.07,10.30788307,1.56,0.28027,1326,2000,4979705,12,1326,12,Legacy,California Legacy Survey Sample
1326B,0.30716944,44.027222,2.876,0.341,11.04,13.27788307,1.8,0.28027,1326b,2000,4979706,12,1326B,12,Legacy,California Legacy Survey Sample
134439,15.170302,-16.379404,-0.99872,-3.54226,9.07,6.736317584,0.77,0.03414,134439,2000,4979707,12,134439,12,Legacy,California Legacy Survey Sample
134440,15.170269,-16.462921,-1.00133,-3.54199,9.44,7.076860414,0.84,0.03368,134440,2000,4979708,12,134440,12,Legacy,California Legacy Survey Sample
134987,15.22463,-25.309347,-0.39901,-0.0751,6.45,4.404209174,0.7,0.03898,134987,2000,4979709,12,134987,12,Legacy,California Legacy Survey Sample
135101A,15.212078,19.286028,-0.59533,0.28853,6.68,4.409008786,0.68,0.03514,135101a,2000,4979710,12,135101A,12,Legacy,California Legacy Survey Sample
13612B,2.212955,-2.3963614,0.36413,-0.07961,7.74,4.423299117,0.68,0.02171,13612b,2000,4979711,12,13612B,12,Legacy,California Legacy Survey Sample
136352,15.363375,-48.317628,-1.62287,-0.275,5.65,4.834783685,0.639,0.0687,136352,2000,4979712,12,136352,12,Legacy,California Legacy Survey Sample
136442,15.346394,-2.4133306,-0.26245,-0.17016,6.35,3.5132433,1.06,0.02708,136442,2000,4979713,12,136442,12,Legacy,California Legacy Survey Sample
136713,15.37686,-10.661123,-0.05774,-0.20238,7.99,6.295749286,0.95,0.04583,136713,2000,4979714,12,136713,12,Legacy,California Legacy Survey Sample
136834,15.378485,1.4186267,-0.3636,-0.36388,8.3,6.274723683,1,0.03935,136834,2000,4979715,12,136834,12,Legacy,California Legacy Survey Sample
136925,15.38113,13.366429,-0.27146,-0.0266,8,4.665220149,0.8,0.02153,136925,2000,4979716,12,136925,12,Legacy,California Legacy Survey Sample
137778,15.470058,-9.35786,0.08153,-0.35585,7.62,6.028918832,0.900001,0.04806,137778,2000,4979717,12,137778,12,Legacy,California Legacy Survey Sample
138549,15.564877,-31.019049,-0.19248,-0.03603,7.96,5.359315565,0.71,0.03019,138549,2000,4979718,12,138549,12,Legacy,California Legacy Survey Sample
138776,15.571367,-2.7240686,-0.09323,-0.14453,8.72,4.603349663,0.75,0.01502,138776,2000,4979719,12,138776,12,Legacy,California Legacy Survey Sample
1388,0.29968636,-13.45564,0.39697,-0.0006,6.5,4.412589418,0.59,0.03824,1388,2000,4979720,12,1388,12,Legacy,California Legacy Survey Sample
13931,2.2798275,43.772996,0.09865,-0.18392,7.61,4.319150285,0.642,0.02197,13931,2000,4979721,12,13931,12,Legacy,California Legacy Survey Sample
139323,15.599046,39.831117,-0.44894,0.05029,7.56,5.810701899,0.96,0.0446828,139323,2000,4979722,12,139323,12,Legacy,California Legacy Survey Sample
139457,15.633114,10.239876,0.13524,-0.35652,7.04,3.664497485,0.56,0.02113,139457,2000,4979723,12,139457,12,Legacy,California Legacy Survey Sample
139477,15.588901,60.086992,0.17222,-0.16288,8.39,6.987899289,1.063,0.05243,139477,2000,4979724,12,139477,12,Legacy,California Legacy Survey Sample
13997,2.2743702,12.379763,0.22646,-0.22044,8.01,5.348040528,0.8,0.02935,13997,2000,4979725,12,13997,12,Legacy,California Legacy Survey Sample
140538A,15.733839,2.5151733,-0.04496,-0.14473,5.879,5.046647909,0.646,0.06816,140538a,2000,4979726,12,140538A,12,Legacy,California Legacy Survey Sample
141004,15.774059,7.3530731,-0.22553,-0.06853,4.43,4.079137406,0.6,0.08508,141004,2000,4979727,12,141004,12,Legacy,California Legacy Survey Sample
141272,15.802629,1.5717394,-0.17619,-0.16672,7.44,5.793084432,0.801,0.04684,141272,2000,4979728,12,141272,12,Legacy,California Legacy Survey Sample
141399,15.781615,46.986262,-0.10824,0.0062,7.21,4.408242148,0.77,0.02752,141399,2000,4979729,12,141399,12,Legacy,California Legacy Survey Sample
142229,15.888891,4.2531897,-0.02176,0.0064,8.08,5.041725777,0.58,0.02468,142229,2000,4979731,12,142229,12,Legacy,California Legacy Survey Sample
143291,15.975563,27.739995,-0.77577,0.29607,8.01,5.928260543,0.77,0.03834,143291,2000,4979733,12,143291,12,Legacy,California Legacy Survey Sample
143761,16.017406,33.303509,-0.19688,-0.773,5.4,4.19380272,0.61,0.05738,143761,2000,4979734,12,143761,12,Legacy,California Legacy Survey Sample
14412,2.3162513,-25.945687,-0.21807,0.44451,6.34,5.82483451,0.73,0.07888,14412,2000,4979735,12,14412,12,Legacy,California Legacy Survey Sample
144287,16.067698,25.254843,-0.48881,0.69666,7.1,5.440064858,0.771,0.04656,144287,2000,4979736,12,144287,12,Legacy,California Legacy Survey Sample
144579,16.082443,39.156509,-0.57128,0.05258,6.66,5.873358169,0.73,0.06961,144579,2000,4979737,12,144579,12,Legacy,California Legacy Survey Sample
144585,16.117603,-14.071292,-0.26122,0.01177,6.32,4.015380494,0.66,0.0346,144585,2000,4979738,12,144585,12,Legacy,California Legacy Survey Sample
144988,16.166823,-35.642559,0.02731,-0.07553,7.16,2.845187274,0.55,0.01371,144988,2000,4979740,12,144988,12,Legacy,California Legacy Survey Sample
145675,16.173421,43.817645,0.13252,-0.29838,6.67,5.376152055,0.9,0.05511,145675,2000,4979741,12,145675,12,Legacy,California Legacy Survey Sample
145809,16.227873,-21.39996,-0.12215,0.00852,6.69,3.729502701,0.59,0.02558,145809,2000,4979742,12,145809,12,Legacy,California Legacy Survey Sample
145934,16.219412,13.239467,0.0081,0.0018,8.49,5.155220149,1.05,0.02153,145934,2000,4979743,12,145934,12,Legacy,California Legacy Survey Sample
145958A,16.221792,13.526911,0.18341,-0.41869,6.68,4.746565807,0.76,0.04105,145958a,2000,4979744,12,145958A,12,Legacy,California Legacy Survey Sample
145958B,16.221783,13.528056,0.183,-0.418,6.8,4.866565807,0.8,0.04105,145958b,2000,4979745,12,145958B,12,Legacy,California Legacy Survey Sample
1461,0.31162992,-8.0530014,0.41766,-0.1442,6.46,4.610613214,0.68,0.04267,1461,2000,4979746,12,1461,12,Legacy,California Legacy Survey Sample
146233,16.260353,-8.3694417,0.23216,-0.49583,5.5,4.765447649,0.65,0.0713,146233,2000,4979747,12,146233,12,Legacy,California Legacy Survey Sample
146362B,16.244553,33.857528,-0.289,-0.085,6.66,4.978975611,0.64,0.04611,146362b,2000,4979748,12,146362B,12,Legacy,California Legacy Survey Sample
146775,16.319009,-28.293883,0.05139,-0.25495,7.69,4.616243412,0.61,0.02428,146775,2000,4979750,12,146775,12,Legacy,California Legacy Survey Sample
147231,16.247291,70.929663,-0.00259,-0.28616,7.9,4.852909393,0.63,0.02458,147231,2000,4979751,12,147231,12,Legacy,California Legacy Survey Sample
147379A,16.278541,67.238846,-0.49791,0.08586,8.6,8.460782679,1.41,0.09379,147379a,2000,4979752,12,147379A,12,Legacy,California Legacy Survey Sample
147379B,16.279253,67.256247,-0.48559,0.09071,10.69,10.53568117,1.51,0.09314,147379b,2000,4979753,12,147379B,12,Legacy,California Legacy Survey Sample
148467,16.465808,7.3054494,-0.24711,-0.26238,8.82,7.577550251,1.27,0.05643,148467,2000,4979755,12,148467,12,Legacy,California Legacy Survey Sample
149661,16.605958,-2.3245836,0.45523,-0.30764,5.76,5.80874128,0.81,0.10227,149661,2000,4979757,12,149661,12,Legacy,California Legacy Survey Sample
149724,16.613488,-6.2943028,-0.02162,-0.00179,7.84,4.107901448,0.75,0.01793,149724,2000,4979758,12,149724,12,Legacy,California Legacy Survey Sample
149806,16.619008,0.25434194,0.09176,0.07637,7.1,5.578721376,0.81,0.04963,149806,2000,4979759,12,149806,12,Legacy,California Legacy Survey Sample
150433,16.685615,-2.8572772,-0.02627,-0.44414,7.24,4.887151772,0.64,0.03384,150433,2000,4979760,12,150433,12,Legacy,California Legacy Survey Sample
150437,16.70203,-29.124995,0.03766,-0.10009,7.85,4.143186414,0.670001,0.01814,150437,2000,4979761,12,150437,12,Legacy,California Legacy Survey Sample
150698,16.730954,-26.808946,-0.02003,-0.10251,6.72,3.357816301,0.64,0.02126,150698,2000,4979763,12,150698,12,Legacy,California Legacy Survey Sample
151288,16.751764,33.509229,-0.03918,0.38343,8.11,8.160439235,1.37,0.10235,151288,2000,4979764,12,151288,12,Legacy,California Legacy Survey Sample
151541,16.710716,68.102169,-0.28237,0.42757,7.56,5.631849198,0.76,0.04115,151541,2000,4979766,12,151541,12,Legacy,California Legacy Survey Sample
151877,16.809865,37.013369,-0.05924,-0.36391,8.4,5.85400476,0.820001,0.03096,151877,2000,4979767,12,151877,12,Legacy,California Legacy Survey Sample
151995,16.834801,18.900419,-0.04429,-0.06995,8.84,6.702034338,1.07,0.03736,151995,2000,4979768,12,151995,12,Legacy,California Legacy Survey Sample
152391,16.883001,-0.026421111,-0.71172,-1.48359,6.64,5.495731744,0.76,0.05904,152391,2000,4979769,12,152391,12,Legacy,California Legacy Survey Sample
152792,16.892314,42.824856,0.12129,-0.32516,6.74,3.364497485,0.72,0.02113,152792,2000,4979770,12,152792,12,Legacy,California Legacy Survey Sample
