Time(sec)_full_semester,Overhead(sec),Time_per_night(sec),N_obs(full_semester),Starname,RAH,RAM,RAS,DECD,DECM,DECS,epoch,vmag=,Vmag,T_exp(sec),T_max(sec),Exp_meter_counts(k),decker,N_obs,Iodine,Priority,Program code,Telescope Propsoal Code,Comment,Include,Done,Cadence
Exposure time + overhead,120,,requested,,,,,,,,,,,,,,,per night,,,(for script),,,Y/N,,min separation
Formula,leave blank,Formula,,,,,,,,,,,,,,,,,,,,,,,,in days
581,,461,1,KIC7107778,19,14,18.61,42,38,49.24,2000,vmag=,11.3,461,923,70,C2,1,out,p2,YL,H378,,Y,N,nan
248,,128,1,KIC9652971,19,33,34.64,46,22,25.5,2000,vmag=,9.9,128,257,70,C2,1,out,p2,YL,H378,,Y,N,nan
576,,456,1,KIC4260884,19,24,51.94,39,19,48.68,2000,vmag=,11.3,456,911,70,C2,1,out,p2,YL,H378,,Y,N,nan
574,,454,1,KIC6206407,19,29,10.2,41,33,30.96,2000,vmag=,11.3,454,908,70,C2,1,out,p2,YL,H378,,Y,N,nan
164,,44,1,KIC7729396,18,41,29.62,43,28,16.36,2000,vmag=,8.8,44,87,70,C2,1,out,p2,YL,H378,,Y,N,nan
1285,,1165,1,KIC8037930,19,39,39.95,43,53,37.18,2000,vmag=,13.5,1165,1800,25,C2,1,out,p2,YL,H378,,Y,N,nan
1836,,1716,1,KIC11518639,19,47,25.56,49,27,23.36,2000,vmag=,13.9,1716,1800,25,C2,1,out,p2,YL,H378,,Y,N,nan
1144,,1024,1,KIC7971558,19,42,45.6,43,43,28.74,2000,vmag=,13.3,1024,1800,25,C2,1,out,p2,YL,H378,,Y,N,nan
1144,,1024,1,KIC10809272,19,45,26.4,48,8,12.16,2000,vmag=,13.3,1024,1800,25,C2,1,out,p2,YL,H378,,Y,N,nan
1329,,1209,1,KIC10621713,19,56,19.21,47,50,18.45,2000,vmag=,13.5,1209,1800,25,C2,1,out,p2,YL,H378,,Y,N,nan
370,,250,1,20329,3,16,42.8,15,39,23,2000,vmag=,8.8,250,500,100,C2,1,out,p1,CB,H376,,y,n,nan
520,,400,1,80653,9,21,21.4,14,22,4,2000,vmag=,9.5,400,500,100,C2,1,out,p1,CB,H376,,y,n,nan
3620,,3500,1,K2-131,12,11,0.3,-9,45,55,2000,vmag=,12.1,3500,3500,100,C2,1,out,p2,CB,H376,,y,n,nan
