,time_utc,18_evening,12_evening,6_evening,18_morning,12_morning,6_morning
2022-08-12,2022-08-12,2459803.7572955205,2459803.7381394054,2459803.7193393135,2459804.11368405,2459804.132839909,2459804.1516393987
2022-08-13,2022-08-13,2459804.756729091,2459804.737621443,2459804.718860667,2459805.1140044993,2459805.133112603,2459805.1518733446
2022-08-14,2022-08-14,2459805.7561538382,2459805.7370943925,2459805.718372671,2459806.114320918,2459806.133381631,2459806.1521039535
2022-08-15,2022-08-15,2459806.755570105,2459806.7365585584,2459806.717875596,2459807.1146332575,2459807.133646985,2459807.1523312493
2022-08-16,2022-08-16,2459807.7549786665,2459807.7360142423,2459807.717369712,2459808.114941465,2459808.133908649,2459808.1525552506
2022-08-17,2022-08-17,2459808.754383654,2459808.7354617394,2459808.716855282,2459809.1152454834,2459809.134166605,2459809.152775971
2022-08-18,2022-08-18,2459809.7537810877,2459809.734901344,2459809.716332568,2459810.115545254,2459810.13442083,2459810.15299342
2022-08-19,2022-08-19,2459810.753171287,2459810.7343365587,2459810.715801826,2459811.115840717,2459811.134671301,2459811.1532076043
2022-08-20,2022-08-20,2459811.7525545685,2459811.733764405,2459811.7152633145,2459812.116131815,2459812.134917994,2459812.1534185307
2022-08-21,2022-08-21,2459812.751931245,2459812.73318515,2459812.7147174855,2459813.1164184925,2459813.135160888,2459813.153626207
2022-08-22,2022-08-22,2459813.7513016295,2459813.732599074,2459813.7141664512,2459814.1167007005,2459814.1353999656,2459814.153830643
2022-08-23,2022-08-23,2459814.7506660325,2459814.732006455,2459814.713608348,2459815.116978394,2459815.135635212,2459815.1540318527
2022-08-24,2022-08-24,2459815.750024763,2459815.7314075693,2459815.7130434248,2459816.117251533,2459816.135866618,2459816.154229851
2022-08-25,2022-08-25,2459816.7493781266,2459816.730802693,2459816.7124719303,2459817.117519637,2459817.1360941757,2459817.1544246576
2022-08-26,2022-08-26,2459817.7487264294,2459817.730192101,2459817.711894113,2459818.117781949,2459818.1363178855,2459818.1546162944
2022-08-27,2022-08-27,2459818.7480714913,2459818.729576068,2459818.7113102227,2459819.118039729,2459819.1365377507,2459819.154804789
